request_id,customer_id,product_id,request_type,current_price,requested_price,requested_discount_pct,currency,request_date,requested_expiry_date,request_status
PR0001,CUST010,PROD003,Price Update,11160.0,10713.6,10.72,USD,2026-09-15,2026-12-14,Rejected
PR0002,CUST009,PROD004,New Price,89640.0,87847.2,11.8,INR,2026-08-29,2026-12-27,Pending
PR0003,CUST010,PROD003,Price Update,11160.0,10490.4,12.58,USD,2026-08-22,2026-09-21,Pending
PR0004,CUST005,PROD006,New Price,12144.0,11415.36,25.0,EUR,2026-08-05,2026-09-04,Pending
PR0005,CUST003,PROD004,Price Update,1140.0,1117.2,6.9,USD,2026-08-05,2026-10-04,Approved
PR0006,CUST010,PROD006,New Price,13800.0,13248.0,11.68,USD,2026-09-04,2026-11-03,Approved
PR0007,CUST009,PROD002,Price Update,547800.0,558756.0,10.24,INR,2026-08-13,2026-09-12,Approved
PR0008,CUST010,PROD002,Price Update,6600.0,6468.0,13.76,USD,2026-08-28,2026-12-26,Pending
PR0009,CUST009,PROD007,New Price,32868.0,,17.28,INR,2026-08-04,2026-12-02,Pending
PR0010,CUST005,PROD003,Renewal,10267.2,9856.51,10.72,EUR,2026-08-13,2026-12-11,Pending
PR0011,CUST007,PROD006,Renewal,14250.0,13965.0,6.9,USD,2026-08-30,2026-10-29,Rejected
PR0012,CUST007,PROD001,New Price,9000.0,8460.0,15.4,USD,2026-08-04,2026-09-03,Pending
PR0013,CUST002,PROD005,Renewal,62084.0,63325.68,10.24,INR,2026-09-01,2026-12-30,Pending
PR0014,CUST006,PROD004,Renewal,89640.0,86054.4,13.6,INR,2026-08-25,2026-09-24,Approved
PR0015,CUST001,PROD007,New Price,33615.0,32942.7,11.8,INR,2026-08-28,2026-12-26,Approved
PR0016,CUST010,PROD001,New Price,9000.0,8640.0,13.6,USD,2026-08-04,2026-09-03,Pending
PR0017,CUST008,PROD001,Price Update,8924.0,9370.2,0.0,EUR,2026-08-31,2026-10-30,Pending
PR0018,CUST005,PROD003,Renewal,10267.2,9856.51,10.72,EUR,2026-08-05,2026-09-04,Pending
PR0019,CUST005,PROD006,Renewal,12144.0,12751.2,7.6,EUR,2026-08-16,2026-09-15,Rejected
PR0020,CUST005,PROD004,New Price,1015.68,1066.46,3.4,EUR,2026-09-06,2026-12-05,Rejected
PR0021,CUST002,PROD005,New Price,62084.0,60842.32,13.76,INR,2026-08-16,2026-11-14,Rejected
PR0022,CUST006,PROD006,New Price,1207650.0,1183497.0,4.94,INR,2026-08-30,2026-11-28,Approved
PR0023,CUST005,PROD003,Price Update,10267.2,10780.56,2.35,EUR,2026-09-06,2026-10-06,Pending
PR0024,CUST005,PROD005,New Price,742.9,780.04,0.25,EUR,2026-08-17,2026-10-16,Pending
PR0025,CUST005,PROD003,Price Update,10267.2,10061.86,8.86,EUR,2026-08-19,2026-10-18,Rejected
PR0026,CUST006,PROD003,Price Update,946200.0,927276.0,6.9,INR,2026-09-09,2026-10-09,Pending
PR0027,CUST006,PROD003,Price Update,946200.0,908352.0,8.8,INR,2026-08-17,2026-09-16,Rejected
PR0028,CUST007,PROD004,Price Update,1104.0,1059.84,11.68,USD,2026-08-18,2026-11-16,Approved
PR0029,CUST006,PROD006,Renewal,1207650.0,1159344.0,6.88,INR,2026-09-13,2026-12-12,Pending
PR0030,CUST005,PROD006,New Price,11494.5,10804.83,21.7,EUR,2026-09-10,2027-01-08,Pending
